ðə kat sæt ɑːnðə mæt 
ʃiː wɛnt tə zə stoːɹ 
aɪ lʌv iːɾɪŋ æpəlz 
hiː sɪŋz bjuːɾɪfəli 
ðə dɑːɡ bɑːɹkt laʊdli 
wiː sɔː ɐ ɹeɪnbov tədeɪ 
ðeɪ ɛndʒɔɪ pleɪŋ sɑːkɚ 
ʃiː ɹiːdz ɐ bʊk ɛvɹi naɪt 
hiː ɔːlweɪz dɹɪŋks kɔfi 
ðə tiːtʃɚ ɡeɪv hoʊmwɜːk 
ʃiː dænst ɪnðər ɹeɪn 
ðə beɪbi læfd hæpɪli 
hiː dɹoʊv tə wɜːk 
ðə sʌn ʃaɪnz bɹaɪtli 
bɜːdz flaɪ ɪnðə skaɪ 
ðə klok tɪks sɔftli 
maɪ mʌðɚ meɪks dɪnɚr 
hiː ɹoʊt ɐ lɛɾɚ 
wiː vɪzɪɾᵻd ðə mjuːziəm 
ðə wɪnd bloʊz koʊld 
ʃiː baɪz fɹɛʃ fɹuːt 
ðə tʃaɪld hʌɡd hɜː mɑːm 
aɪ faʊnd ɐ ʃaɪni pɛni 
hiː swɪmz ɪnðə puːl 
ʃe woːɹ ɐ ɹɛd dɹɛs 
ðə bɹaʊn dɑːɡ ɹʌnz fast 
hiː laɪks tə peɪnt 
ðeɪ tɹevəl tə jʊɹɹəp 
ʃiː iːts ɐ sændwɪtʃ 
hiː lɪsənz tə mjuːzɪk 
ðə lɪɾəl ɡɜːl sɪŋz 
maɪ dæd fɪksɪz kɑːɹz 
ðɪ ɛɹpleɪn teɪks ɔf 
ðə doːɹbɛl ɹæŋ laʊdli 
ʃiː kæɹid ɐ bæskɪt 
wiː sɔː ɐ ʃuːɾɪŋ stɑːɹ 
ðə weɪvz kɹæʃt ɑːn ʃoːɹ 
ðə tɹeɪn ɚɹaɪvd leɪt 
hiː stʌdiz ɛvɹi deɪ 
ðə snoʊ ɪz mɛltɪŋ 
maɪ ænt beɪks kʊkiz 
ðə tiːtʃɚ smaɪld kaɪndli 
ðə liːvz tɜːnd ɹɛd 
hiː oʊpənd ðə bʊk 
ðə flaʊrɚz bluːm ɪn spɹɪŋ 
ʃiː wɪspɚd ɐ siːkɹət 
ðə sʌn sɛt sloʊli 
ðə ɹɪvɚ floʊz dʒɛntli 
ðə kandəl flɪkɚd softli 
wiː hɜːd an aʊl huːt 
ðə bɔːl ɪz ɹaʊnd 
hiː iːts toʊst fɔːɹ bɹɛkfəst 
ðə stɑːɹz twɪŋkəl æt naɪt 
ʃiː taɪd hɜː ʃuːleɪsɪz 
ðə mʌnki klaɪmt ðə tɹiː 
ðeɪ bɪlt ɐ sændkæsəl 
hiː pɪkt fɹɛʃ stɹɔːbɛɹiz 
ʃiː ʃɑːɹpənd hɜː pɛnsəl 
ðə kæt tʃeɪst ðə maʊs 
ðə dɑːlfɪn dʒʌmpt haɪ 
aɪ ɹoʊd maɪ baɪsɪkəl 
hiː wɑːtʃt ɐ funi muːvi 
ʃiː hɛld ɐ pɜːpəl ʌmbɹɛlə 
ðə beɪkɚr meɪd ɐ keɪk 
ðə tʃɪldɹən pleɪd aʊtsaɪd 
ðə skwɜːɫ faʊnd ɐ nʌt 
ðə ɡlæs bɹoʊk sʌdənli 
hiː dɹuː ɐ bɪɡ sɜːkəl 
ðə spaɪdɚ spon ɐ wɛb 
ʃiː weɪvd ɡʊdbaɪ 
ðə tiːtʃɚ ɹiːd ɐ stoːɹi 
ðə bʌtɾɚflaɪ lændᵻd dʒɛntli 
ðə fɑːɹmɚ mɪlkid ðə kaʊ 
hiː kaʊntᵻt tə tɛnti 
ðə fɹɑːɡ kɹoʊkt laʊdli 
ðə θiəɾɚ wʌz kɹaʊdᵻd 
hiː ɔːɹdɚd ɐ bɑːɾəl ʌv wɔːɾɚ 
ʃiː bɔːt ɐ nuːo mɪɹɚ 
ðə təmeɪɾoʊ wʌz ɹaɪp 
aɪ pɑːɹkt ðə kɑːɹ ɪnðə ɡɚɹɑːʒ 
ðɪ ɐlɑːɹm klɑːk biːpt 
hiː æskt fɔːɹ dɚɹɛkʃənz 
ðə beɪbi slɛpt saʊndli 
ðə tʊɹɹɪsts tʊk foʊɾoʊz 
ʃiː nɪɾᵻd ɐ swɛɾɚ 
hiː tɜːnd ɔf ðə fɔːrsɪt 
zə weɪɾɚ bɹɔːt ðə tʃɛk 
ðə laɪbɹɛɹi wʌz kwaɪət 
ʃiː ɛndʒɔɪd ðə joʊɡɚt 
ðə pɑːstə wʌz dɪlɪʃəs 
hiː poːɹd ɐ ɡlæs ʌv mɪlk 
ðə tæksi dɹaɪvɚ wʌz fɹɛndli 
ðɪ ɔːɹkɛstɹə pled bjuːɾɪfəli 
ðə dɛntɪst kliːnd maɪ tiːθ 
ðə pʌpi wæɡd ɪts teɪl 
ðə wɛðɚ wʌz tʃɪli 
ʃiː aɪɚnd hɜː kloʊðz 
hiː pɹæktɪst ðə vaɪəlɪn 
ðə dɑːktɚ pɹɪskɹaɪbd mɛdəsən 
ðə ɡɑːɹdənɚ wɔːɾɚd ðə plænts 
